row_key,site,product_slug,name,price,brand,category,url,scraped_at,scraped_date,scraped_hour,day_of_week
ultrapc#ultrapc_ultrapc_moniteur_tooq_db3032tnr_s_97ab40_2026-05-04_02-31-01_#2026-05-04T02-31-01Z,ultrapc,ultrapc_ultrapc_moniteur_tooq_db3032tnr_s_97ab40_2026-05-04_02-31-01_,TooQ DB3032TNR-S,749,INCONNUE,moniteur,https://www.ultrapc.ma/bras-pied/7971-tooq-db1200tn-b.html,2026-05-04 02:31:01.000000 UTC,2026-05-04,2,2
ultrapc#ultrapc_ultrapc_moniteur_tooq_db5032tnr_b_8569e0_2026-05-04_02-31-00_#2026-05-04T02-31-00Z,ultrapc,ultrapc_ultrapc_moniteur_tooq_db5032tnr_b_8569e0_2026-05-04_02-31-00_,TooQ DB5032TNR-B,499,INCONNUE,moniteur,https://www.ultrapc.ma/bras-pied/8358-tooq-db5032tnr-b.html,2026-05-04 02:31:00.000000 UTC,2026-05-04,2,2
ultrapc#ultrapc_ultrapc_moniteur_tooq_db1032tn_b_d06b78_2026-05-04_02-31-42_#2026-05-04T02-31-42Z,ultrapc,ultrapc_ultrapc_moniteur_tooq_db1032tn_b_d06b78_2026-05-04_02-31-42_,Tooq DB1032TN-B,399,INCONNUE,moniteur,https://www.ultrapc.ma/bras-pied/7952-tooq-db4032tnr-g.html,2026-05-04 02:31:42.000000 UTC,2026-05-04,2,2
ultrapc#ultrapc_ultrapc_moniteur_tooq_db1232tn_b_4f9222_2026-05-04_02-31-39_#2026-05-04T02-31-39Z,ultrapc,ultrapc_ultrapc_moniteur_tooq_db1232tn_b_4f9222_2026-05-04_02-31-39_,Tooq DB1232TN-B,649,INCONNUE,moniteur,https://www.ultrapc.ma/bras-pied/4647-tooq-db1232tn-b.html,2026-05-04 02:31:39.000000 UTC,2026-05-04,2,2
ultrapc#ultrapc_ultrapc_moniteur_tooq_db1327tn_b_13__27_661440_2026-05-04_02-30-44_#2026-05-04T02-30-44Z,ultrapc,ultrapc_ultrapc_moniteur_tooq_db1327tn_b_13__27_661440_2026-05-04_02-30-44_,"Tooq DB1327TN-B 13""-27""",1099,INCONNUE,moniteur,https://www.ultrapc.ma/bras-pied/8889-tooq-db1327tn-b-13-27.html,2026-05-04 02:30:44.000000 UTC,2026-05-04,2,2
ultrapc#ultrapc_ultrapc_moniteur_tooq_db4032tnr_g_03605f_2026-05-04_02-31-14_#2026-05-04T02-31-14Z,ultrapc,ultrapc_ultrapc_moniteur_tooq_db4032tnr_g_03605f_2026-05-04_02-31-14_,Tooq DB4032TNR-G,499,INCONNUE,moniteur,https://www.ultrapc.ma/bras-pied/7690-tooq-db4032tnr-g.html,2026-05-04 02:31:14.000000 UTC,2026-05-04,2,2
ultrapc#ultrapc_ultrapc_moniteur_tooq_db4032tnr_w_a75286_2026-05-04_02-31-01_#2026-05-04T02-31-01Z,ultrapc,ultrapc_ultrapc_moniteur_tooq_db4032tnr_w_a75286_2026-05-04_02-31-01_,Tooq DB4032TNR-W,599,INCONNUE,moniteur,https://www.ultrapc.ma/bras-pied/8021-tooq-db4032tnr-w.html,2026-05-04 02:31:01.000000 UTC,2026-05-04,2,2
ultrapc#ultrapc_ultrapc_moniteur_tooq_db4132tnr_g_dual_17_32_35a635_2026-05-04_02-31-01_#2026-05-04T02-31-01Z,ultrapc,ultrapc_ultrapc_moniteur_tooq_db4132tnr_g_dual_17_32_35a635_2026-05-04_02-31-01_,"Tooq DB4132TNR-G Dual 17-32""",999,INCONNUE,moniteur,https://www.ultrapc.ma/bras-pied/7823-tooq-db4132tnr-g-dual-17-32.html,2026-05-04 02:31:01.000000 UTC,2026-05-04,2,2
ultrapc#ultrapc_ultrapc_moniteur_tooq_db5132tnr_b_d9e9ba_2026-05-04_02-31-01_#2026-05-04T02-31-01Z,ultrapc,ultrapc_ultrapc_moniteur_tooq_db5132tnr_b_d9e9ba_2026-05-04_02-31-01_,Tooq DB5132TNR-B,799,INCONNUE,moniteur,https://www.ultrapc.ma/bras-pied/7956-tooq-db5132tnr-b.html,2026-05-04 02:31:01.000000 UTC,2026-05-04,2,2
ultrapc#ultrapc_ultrapc_moniteur_tooq_fs1470m_b_support_tv___ro_4b2e49_2026-05-04_02-30-44_#2026-05-04T02-30-44Z,ultrapc,ultrapc_ultrapc_moniteur_tooq_fs1470m_b_support_tv___ro_4b2e49_2026-05-04_02-30-44_,Tooq FS1470M-B Support TV à Roulettes 37...,1990,INCONNUE,moniteur,https://www.ultrapc.ma/bras-pied/8888-tooq-fs1470m-b-support-tv-a-roulettes-37-70.html,2026-05-04 02:30:44.000000 UTC,2026-05-04,2,2
